Hypothesis,Reference
"Согласно докладу Организации Объединенных Наций 2010 года о экономике , мировая торговля товарами выросла в годовом исчислении на 14 % с 2002 по 2008 год .",С
"Русские особенно обеспокоены Хамасом от Чечни , и Центральной Азии с боевиками Талибана .",Р
"Она одержит победу не потому , что ее взгляды выглядят более убедительными , чем профессиональные профессиональные Партии , а потому , что ее противники выглядят гораздо хуже .",О
"В этом случае рецессия может произойти , несмотря на лучшие усилия центральных банков .",В
Но никто не принадлежит к правде .,Н
Это может оказаться плохим делом .,М
"Наиболее важно то , что риск снижения валютного курса увеличит как внутренние , так и прямые иностранные инвестиции , тем самым помогая облегчить безработицу .",Н
"В 2007 году , когда он сыграл ключевую роль в освобождении медсестер , арестованных Каддафи , лидер Ливии был тем , что выглядело как приз легитимности : официальным визитом в Париж .",В
"Некоторое время займы степень проблемы ; но сегодня степень бремени , которую долг , из этого займа , делает будущим поколениям – что очень несправедливо в своем собственном праве .",Н
"Фонд , а не Европейский Союз , взял на себя инициативу в переговорах о срочной помощи Венгрии и Латвии .",К
"Решения , которые европейские лидеры должны выйти за пределы Маастрихтского договора , но не новые институциональные споры , которые нас не приведут .",Р
В этом случае нельзя недооценивать опасного воздействия израильского комплекса Холокоста .,В
"не должны быть в поиске новаторских результатов : крах был результатом финансовой слабости в странах , где политика привела к , которые уничтожили балансовые отчеты банков .",В
"В Англии там « две великие партии », он написал , что проявил « », что « всегда существовали , и всегда должно существовать ».",В
"В то время как развитые страны борются с медленным экономическим ростом и большим долговым бременем , их интересы в открытой глобальной системе больше не могут быть приняты как должное .",Р
"Как посол в Соединенных Штатах и ООН , а позже и будучи министром иностранных дел , он представлял Израиль , с которым могли бы определить либеральные воображение всего мира .",К
"Наоборот , цены на жилье продолжают расти .",Н
"Если избиратели не о влиянии , которое оказывает их щедрость , они неизбежно будут уделять внимание вопросам , которые ближе к дому .",Д
"Он также не с Политковской , журналиста , которая была после отказа прекратить расследования нарушений прав человека в России .",Э
"Я надеюсь , что США принимают во внимание , свои решения .",Я
"Подобным образом война Америки с Ираком , которая ООН и считалось , что у нее есть оружие массового уничтожения , показала , что суверенитет больше не обеспечивает абсолютной защиты .",Т
"Таким образом , чтобы сохранить дефицит текущего счета , должен быть сделан стабильный торговый дефицит .",Т
"Тот факт , что Лю мог бы власть Коммунистической Партии Китая , явно .",Т
", что власть и стремление к Конгрессом использовать это , Обама входит в небольшой класс лидеров , которые активно стремятся ограничить свою собственную власть .",О
– Великая рецессия 2008 года достигла самых живых Земли .,К
"Фридман не был самым знаменитым и влиятельным экономистом в мире , который придерживается Джона Мейнарда Кейнса .",М
"Неудивительно , что создание исламского политического движения , тысячами подземных веб - сайтов джихада , обратно в Королевство .",Н
по греческим и приверженность ключевых национальных правительств мерам жесткой экономии начали тяжелым бременем за последний год .,С
"Все эти злоупотребления неоднократно обсуждались на ЕС - Китае , не или вообще не получают выгоду .",В
"На прошлой неделе , вооружение , включая танки , был .",Т
"Но нет никаких сомнений в том , что , дефициты под контролем , государственные финансы Латвии находятся в гораздо лучшем состоянии сегодня , и устойчивое обслуживание долга больше не является проблемой .",Н
"В Южной Азии наблюдаются самые высокие уровни недоедания , а также самое большое количество детей , у которых есть более высокий уровень смертности , более низкие показатели и вероятность попадания в школу .",В
Но он лучше всего известен как своим .,Н
"Кроме того , напряженность в торговле может ослабить политические связи .",Б
Это изменение во внешней политике США является желательным и необходимым .,Э
"Для тех женщин в Индии , которые доказали себя , что являются эффективными лидерами всех слоев общества , было бы прекрасно , если бы она смогла продемонстрировать ранние позиции , что у нее есть и профессиональную авторитет , данное положение .",Д
"Для обеспечения демократической легитимности и удовлетворения национальных конституционных судов ( не в последнюю очередь Германии ), второй Европейский парламент должен быть создан , чтобы служить законодательной властью еврозоны .",Ч
"Действительно , говорят так , что были слухи , что в данном случае содержится слухи , режимом , что конгресс Коммунистической Партии , на котором новый президент и премьер - министр будет этой осенью , может быть отложено .",Д
"Глобальное перераспределение через налоги , которые будут международным органом , может показаться сегодня , но логика развития , свидетелями которой мы являемся – особенно , отказ от национальных государств в качестве суверенитета – предполагает , что в конечном итоге это может произойти .",Г
", человеческие , - это и .",В
ответа нужно на угрозу .,Х
"гражданские права , в течение большей части своей карьеры , Кан является одним из немногих членов правительства Хатоямы , обладающих предыдущим опытом работы в кабинете министров , который служил 10 месяцев в 1996 году в качестве министра здравоохранения и благосостояния .",Б
"История учит , что мировой экономический порядок трудно установить и сохранить в отсутствии господствующей экономической власти .",И
"Те , кто противостоят независимо от того , кто выступает за это , утверждают , что человеческих эмбрионов для получения стебельных клеток и , следовательно , .",Т
Неужели « » неизбежна ?,Н
"Но в развитых странах грипп имеет два урока : ( 1 ) грипп – это больше , чем многие люди думают . ( 2 ) в конечном счете , серьезная пандемия , ли она H1N1 , или нет , мы должны сделать то , что мы можем , теперь , чтобы подготовиться .",Н
"Во - первых , кризис еврозоны усугубляется , поскольку евро остается слишком сильным , жесткие меры жесткой экономии на начальном этапе экономики многих стран - членов , а кредитный кризис на периферии и высокие цены на нефть подрывают перспективы восстановления .",В
"Несмотря на фундаментальный характер такого шага , было плохо подготовлены и , и правительство серьезно его воздействие на национальный бюджет .",Н
"Когда система была создана в частном порядке , правительство смогло использовать его для предоставления дополнительных услуг .",П
"Он сделал еще хуже : просто сделал неправильный поворот ‑ и он сделал его до 11 - го сентября , событие , которое укрепило , но не создало , представление Америки о себе и своей роли в мире .",О
Европейский суд по правам человека в в двух самых важных случаях в своей истории .,В
"Кажется , что мы готовы потратить деньги на войну гораздо больше , чем для мирных и решений самых важных проблем , стоящих перед человечеством , и особенно перед самым бедным из бедных .",К
"в направлении принятия мер по созданию практически нескольких технических решений в области , и их принятие в дальнейшем принятие Комиссии действовал так , как будто бы структура конкурентной политики не стала бы пунктом повестки дня в повестке дня : мы просто , давайте и посмотрим , как новые правила будут .",Б
"Хорошая идея начала заключается в поддержке со стороны французского лидера Доминика Стросс - Кана , который предложил , чтобы 0 , 25 % ВВП Европы были к исследованиям и использовались для создания европейского Агентства по изучению .",Х
"Фактически , ее нарушения прав человека .",В
"С момента победы демократов , скорее всего , будет зависеть от этих государств , кандидат от демократов , который сможет победить в этом , или республиканец , который сможет победить его , вполне может победить на президентских выборах .",П
"Мы на Западе это признать – и большинство из них отказываются верить – что наши лидеры на протяжении века жизни мусульман , в бесчисленных войнах и военных , западной властью .",М
"Больше нет никаких оснований полагать , что нулевые процентные ставки продолжают тормозить денежно - кредитную политику .",У
"Учитывая бесчисленные зверства , совершенные FARC , перспектива наказания трудно принять .",У
Будет ли продолжаться паралич реформы за пределами Азии ?,Б
"Но новый популизм пока еще не , или даже .",О
"Но ответ на такие сомнения и является больше Европы , а не менее .",Н
"Люди привыкли платить за электричество , которую они фактически используют .",Л
"Семь десятилетий их диктатуры уничтожили общества , корни .",С
Китай – это не единственная история успеха .,П
"деньги и цифровые доступны на мобильных , что позволяет природные льготы в сельской местности , где финансовые услуги ограничены и большие суммы наличных денег рискованно .",К
Три из восьми ЦРТ касаются обеспечения доступности основных медицинских услуг всего мира .,Т
И искажения здесь не прекращается .,И
"Наконец , США , похоже , пришли к заключению , что режим Салеха нельзя восстановить .",Н
Президенту Франции Николя Саркози не придется конкурировать с какими - либо .,П
"С тех пор китайские чиновники настаивают на том , что они не входят в переговоры между США и Россией о сокращении стратегических вооружений , потому что ядерные арсеналы этих двух стран их .",С
Вскоре после этого некоторые ведущие интеллектуалы осудили осуждение национального комитета как оскорбление свободы речи . Никто не упомянул об опасности разжигания уже аудитории .,А
"По этой причине Трише , в отличие от первого президента ЕЦБ , пытался поднять ставки лишь на 25 базисных пунктов в то время .",О
"В самом деле , Министерство внутренней безопасности может найти данные , в Интернете без ограничений , вне зависимости от того , что он в конечном итоге найдет .",М
"Во втором случае с БМВ люди не коррумпированного бизнесмена , они вину на центр , главного .",Т
"Это - французско - - работа , тип объединенных международных совместных усилий , которые мы все чаще видим в фильме – форма сотрудничества , которое должно указать на другие формы глобальных общественных проектов .",Э
"· для отказа фармацевтические компании в докладе и информация о безопасности должна значительно увеличиться , если они будут служить в качестве эффективного инструмента хеджирования ; и информации о ;",·
Затем в Польше были свыше двух миллионов членов Коммунистической Партии .,В
"Таким образом , признаки замедления экономического роста во всем мире возросли .",И
"В последние годы они слишком в Германии , хотя есть некоторые опасения , что масштабные переговоры по поводу повышения заработной платы в следующем году могут быть трудными .",В
"Правительство также чиновников в жизнь и проверяет их декларации о активах и обязательствах , чтобы найти , если они получили свои с доходом .",П
"Это не ставит важных вопросов , таких как общая политика , которая бы обеспечивать экономическую стабильность и способствует экономическому росту .",Н
Однако общий эффект ОПР остается сомнительным .,О
"Сегодня деловое сообщество понимает , что может найти любой предлог , чтобы перейти после любого из них .",С
"терроризм , замедление экономического роста в Китае или резкий эскалация насилия на Ближнем Востоке , мог бы нанести удар по текущей экономической динамике .",Я
"Никто не говорит , что тысячи были в этом месяце .",Н
"Миру нужны глобальные решения глобальных проблем , но лидеры Большой восьмерки явно не могут обеспечить их , поскольку практически все политические лидеры , которые саммит , глубоко непопулярны у себя дома , мало кто предлагает мировому руководству .",М
"По моему мнению , те , кто думает , что Америка скоро падет , скорее всего , будут разочарованы .",Н
"газ , возможно , является товаром , который наиболее уязвимы к поставок .",П
"являются правительственные политики для привлечения ПИИ с высоким уровнем качества , особенно для экспорта , которые могли бы оказать влияние на внутри страны , создавая как прямую , так и занятость .",Д
"Большинство найдут в поисках отношений , если Сербия не предпримет определенные шаги в процессе « де - ».",Д
"Я утверждал , что дела не будут улучшаться до тех пор , пока они не , и что крах одной из самых крупных финансовых фирм в мире был неизбежен .",Я
"Как только Клинтон в своем недавнем по Азии , даже в коммунистическом Вьетнаме , Юго - Восточная Азия более чем , чтобы сохранить Pax Americana ( Американский мир ) немного больше , чем страх перед Китаем .",К
"Мы постоянно слышим о том , как морской тает быстрее , чем ожидалось , и это действительно так .",М
Я называю эту стратегию « ».,Я
С тех пор государство стало преобладающей проблемой в отношении ведения войны .,С
"Такие , как или изгнание , могут сказать много о моей жизни и моей , но , как бы важно , они не говорят о литературе .",Т
"Открытие торговли в сельском хозяйстве и отраслях – и даже предоставление , которые предлагали другим бедным странам – вероятно , принесет непосредственную выгоду бедным фермерам , составляющим 70 % населения , а также создают новые рабочие места .",О
"Немецкая « никаких платежей без и контроля », таким образом , была за столом , и сделку была в начале с была совершенно противоположной того , что она хотела .",Н
"В то же время , российское правительство должно оказать давление на Кавказ и дать людям возможность самостоятельно определять свое будущее .",В
"Военные силы Турции изначально молчание по этому вопросу , наблюдая за тем , как разворачивается гражданский политический процесс .",В
"Дефицит системы Social Security в сравнении с дефицитом , огромным сокращением налогов для американцев с высокими доходами , или , по сравнению с дефицитом в медицинской помощи , которое обеспечивает здравоохранение для пожилых людей .",Д
"НЬЮ - ЙОРК . Международным наблюдателям в Соединенных Штатах сложно понять политический паралич , который страну , и который серьезно угрожает способность Америки решать свои внутренние проблемы и внести свой вклад в решение международных проблем .",Н
"Тем не менее , хотя вывод американских войск с Ближнего Востока , кажется , крайне маловероятным , влияние США на регион будет действительно снижаться ; как это происходит , роль Америки , вероятно , будет более ‑ и , возможно , более .",Т
"Часть этой отрицательной оценки неизбежна : к тому времени , когда страна обращается к МВФ , она находится на пути к экономики .",О
"До сих пор Кремль заявил , что он примет только соглашение , которое согласятся обеих сторон , в сущности , в одобрении позиции Сербии .",Т
Ей нужен толчок – более совокупный спрос .,Е
"Но , когда на карту поставлено выживание авторитарных режимов , они хорошо угрозы в окрестностях и адаптироваться к их встрече .",Н
"Почти кажется невероятным , но три года спустя политика , последовавшая за денежной реформой , привела в действие то , что стало известно как экономическое чудо Германии .",Т
"Вероятно , он примет форму глобального кредитного , хрупкой смесью глобального , слишком большого , чтобы обанкротиться , иметь огромную и в значительной степени и банковский сектор .",О
"Он был одним из самых талантливых людей и самых , в своем время и сам , для студентов и друзей , когда они нуждаются в нем .",О
"Те , кто участвует в них , должны рассматриваться как враги демократии и относились к подобным .",Т
странам помочь бедным странам .,п
"Тем не менее , ООН неоднократно в этом роли .",О
"Он понимает , что женщины будут вас , когда вы их как курс .",О
"Конечно , иностранные инвестиции в - это падение по сравнению с тем , что в Китае в целом .",К
"А развивающиеся рынки пострадают , как только спад в США и глобальное замедление экономического роста подрывает цены на товары .",А
"В прошлом риски с были признаны и , возможно , тем , кто был готов их нести .",В
"Это было необходимым , если привести к , действовать в целях предотвращения экономического бедствия .",L
"Для некоторых из способов « партнерских отношений » основанного на политической реформе и полном уважении к правам человека и фундаментальных свобод , должны помнить , что политический ландшафт региона определенно будет оставаться и напряженным в ближайшие месяцы .",П
"После смерти бен Ладена « Аль - Каида », скорее всего , умрет как организация .",П
"· Существуют ли универсальные права человека , которые стоят выше конфликтов в отношении определенных культурных традиций ?",·
"Было бы , если коммунистические лидеры Китая покажут лучший взгляд на взаимодействия капитализма , реальный сектор экономики и правительства , чем западные свободного рынка .",Б
"В этом случае Мексика предпочитает к принципу односторонних отношений , а мирный разоружение над военными , поскольку интересы Мексики отличаются от интересов США .",В
"Это предложение , которое будет очень длительным способом снижения рынков , таким образом препятствуя распространению финансовой инфекции , но оно не будет регулировать производные ценные бумаги .",Э
"Когда спрашивают , почему они не свои претензии , мои китайские иногда говорят , что для этого потребуется сложные политические и бюрократические компромиссы , которые могут вызвать внутренние националисты .",Н
"управление привело к основным рынка , и показатели некоторых больше не фундаментальными экономическими данными .",А
"Однако , сокращение социального неравенства не бывает легко с глубоко духом , и попытка « » природой социального контракта между государством и его гражданами еще не сможет принципы американской системы .",О
Вторая проблема заключается в отсутствии глобального финансирования .,В
"Но его ответ – по сути , просто « количественное послабление » – может привести к негативным последствиям , усугубляя дисбалансы и создавая серьёзную финансовую нестабильность .",Н
"Очень люди , которые в 2000 году называл Путина человеком , могли бы заниматься бизнесом , имеют два мысли .",Т
"Вместе с новыми технологиями , и ( ), воздушное пространство приведет к безопасным , , доступным , .",Н
В США класс и раса друг на друга .,В
"Мы должны создать больше европейских военных сил , чтобы просто создать механизм , который позволит нам действовать эффективно , чтобы принимать решения в случае , когда терроризм или другие катастрофы одну из наших демократических государств , как это случилось .",М
Но было бы ошибкой недооценивать серьезность ее намерений .,Т
"Мы должны применить собственные таланты и интеллект , а не ждать за границей .",М
Многие сегодня являются членами Европейского Союза .,М
"С другой стороны , Моди вряд ли и такие страны , как Япония , и , которые до сих пор сопротивлялись им в прошлом . Министр Финансов Японии , в 2007 и 2012 годах , к японских инвестиций в для японских инвестиций .",С
"Очень важно , чтобы правительства мира сейчас поднять бюджет ВОЗ , как одно из самых важных шагов , имеющихся в деле глобального развития и справедливости .",С
Силы Президента России Владимира Путина вторглась в Крым и Восточную Украину .,С
"Правительство президента Бразилии Русеф , которое начало свой срок в этом году с пониманием того , что экономический рост резко замедлится , реальный рост , чтобы повысить конкурентоспособность страны .",П
"Потребуется быстро , чтобы не Багдад .",П
"В то время как и овощи не , уровень загрязнения в более чем на 99 % случаев не консервативные ограничения , установленные регулирующими органами .",В
"Россия знает , что когда дело доходит до проведения серьезных внешнеполитических и политических программ безопасности , Европа все .",Р
К 2050 году мировой спрос на продовольствие вырастет на 60 %.,П
Что же будет дальше ?,И
Франции негативно отражается на молодых людях и вне рынка труда .,Б
"Будем надеяться , что новый Договор о реформах поможет успокоить критиков и проложить путь к новому ‑ и более ‑ фазе интеграции .",Б
"Эво Моралес - лидер федерации производителей коки - чуть не победил на выборах , американским послом , предупредив , что его избрание будет воспринято как враждебное по отношению к Америке .",Э
"В обоих случаях то , что кажется желательным , оказывается чрезвычайно невероятным .",В
"ему выполнить свое обещание подписать соглашение ЕС и не заставить Украину войти в таможенный союз с Россией , протестующие страну .",П
Какие последствия референдума будет последствия для референдума ?,К
"Эти женщин , и без правосудия , которые в « нормальному » событий – насилию .",Э
Американские налогоплательщики становятся все более плохими .,А
"Одно из них – решение премьер - министра Израиля Биньямина Нетаньяху , которое в его речи на Генеральной ассамблее ООН в прошлом месяце , приостановить его угрозу начать односторонние военные действия против ядерных объектов Ирана .",О
Сегодня мало людей - если вообще вообще - то относятся к модели с таким .,С
"На Балканах , например , удары были в основном США ; миротворческие операции в основном европейцами .",Н
"Для других условия более тесной на основных областях , и « структурные » условия , которые требуют жестких временных законодательных мер , будут оцениваться менее способом .",Д
"правительство на выборах , и правительство замораживание строительства поселений , даже зданий , которые уже были начаты .",П
"8 - 9 декабря представители правительств более 150 стран , международных организаций и групп гражданского общества соберутся в Вене , чтобы рассмотреть гуманитарные последствия ядерного оружия .",С
"Но мы можем лучше достичь наших целей в рамках ЕС , которая поддерживает , а не препятствует , национальные действия по стимулированию экономического роста и занятости .",Н
"Кроме того , в то время как конфликты , конфликты , вызванные молодым населением , политикой идентичности и недостатком ресурсов , будут продолжать некоторые регионы , такие как Ближний Восток , Южная Азия и Африка .",К
"Они должны быть включены в гораздо более сложные институциональные рамки , которые я бы описал как либеральный порядок .",Ч
"Сторонники Ирака могут нефтяной экспорт из , который нанесет ущерб американским планам в Ираке , одновременно увеличивая доходы Ирана от продажи нефти , или ограничить доступность топлива для армии США , дороги и мосты , особенно в - .",Е
"Защита рабочих и потребителей являются важнейшими , но защита конкретной отрасли от влияния новых бизнес - моделей не приведет к новой волне преобразований .",З
"Однако , насколько эффективны усилия МВФ по предотвращению кризиса , всегда будет следующий кризис в стране .",И
"Иран также может вмешаться в нефтяной капитал , что привело к резкому росту цен и приведет к дальнейшему разрушению американского и глобального экономического восстановления .",И
"В такой же мере , как интеграция Косово в региональную экономику является конечной целью , ее будет также способствовать тому , что региональные власти будут участвовать в планах восстановления .",П
для финансового краха ?,С
"повышения процентных ставок не на благополучия рабочих , а на .",А
"имеют реальные последствия для политики в отношении Ирана : как недавно сказал иранский политолог в Германии , молодые люди в Иране считают себя мусульманами , и Иран никогда не станет обществом .",Н
"Этот подход будет иметь далеко идущие последствия , так как опасные , в , место в , недавно среди израильтян .",Э
"Учитывая , что сегодня средства массовой информации и социальные сети , только несколько людей должны стремиться дойти до остальных людей , которые будут вынуждены покинуть свои ряды в лидера .",У
Турция и Украина стремятся присоединиться к Европейскому Союзу ; и присоединяются к Европейскому Союзу ; Турции и Украины ;,Т
"был героем , который спас жизнь многим евреям в моем родном городе Будапеште , создав безопасные шведские дома .",В
"Греция также снова напомнил нам о том , что мир нуждается в системе реструктуризации долга .",Г
испытание еще впереди .,Н
"Более того , за последние годы в латиноамериканских экономиках прошли важные экономические трансформации , которые увеличили свою устойчивость .",Б
"Столкнувшись с более жесткими мерами , и когда настойчиво пытается направить страну в новое направление , Каддафи уступил , ядерную программу для политической нормализации . 31 мая 2006 года США вновь открыли свои посольства в Триполи , пробел в дипломатических отношениях .",С
"В отличие от этого , экономический рост улучшает у женщин .",В
"Он своего компетентного главного секретаря , , Гонконга государственного , за его колониальное прошлое , тем самым выражая свое недоверие всей государственной службе , которую создали британцы .",О
"За последние несколько лет мы наблюдали реальные и дорогостоящие последствия режима компенсации , который оставил финансовые фирмы бесплатно устанавливать свои собственные структуры выплат .",З
"Этот был жестким , консервативным и природой управления .",Э
Но вопросы о легитимности кампании в прошлом и более в продолжающихся отсутствие практически любого закона в Ираке .,Н
"Это больше не кажется случаем – или , по крайней мере , так считали греки .",С
"Но в то время как относительная власть регионов Боливии растет , никто не может выжить только в одиночку или наложить вето на действия высоко зон страны .",Н
